day,month,Temperature,RH,Ws,Rain,FFMC,DC,ISI,BUI,Classes_mode,FWI_mean
29,7,32,73,15,0.0,86.6,127.0,5.6,35.0,fire,11.9
30,7,31,79,15,0.0,85.4,136.0,4.7,37.4,fire,10.7
31,7,35,64,17,0.0,87.2,145.7,6.8,41.2,fire,15.7
1,8,36,45,14,0.0,78.8,10.2,2.0,4.7,not fire,0.9
2,8,35,55,12,0.4,78.0,10.0,1.7,5.5,not fire,0.8
3,8,35,63,14,0.3,76.6,10.0,1.7,5.5,not fire,0.8
4,8,34,69,13,0.0,85.0,19.8,4.0,8.2,fire,3.9
5,8,34,65,13,0.0,86.8,29.7,5.2,11.5,fire,6.1
6,8,32,75,14,0.0,86.4,39.1,5.2,14.2,fire,6.8
7,8,32,69,16,0.0,86.5,48.6,5.5,17.2,fire,8.0
8,8,32,60,18,0.3,77.1,47.0,2.2,14.1,not fire,2.6
9,8,35,59,17,0.0,87.4,57.0,6.9,17.9,fire,9.9
10,8,35,55,14,0.0,88.9,67.0,7.4,21.9,fire,11.6
11,8,35,63,13,0.0,88.9,77.0,7.1,25.5,fire,12.1
12,8,35,51,13,0.3,81.3,75.1,2.5,20.7,not fire,4.2
13,8,35,63,15,0.0,87.0,85.1,5.9,24.4,fire,10.2
14,8,33,66,14,0.0,87.0,94.7,5.7,27.2,fire,10.6
15,8,36,55,13,0.3,82.4,92.5,3.7,22.0,fire,6.3
16,8,36,61,18,0.3,80.2,90.4,2.8,17.6,fire,4.2
17,8,37,52,18,0.0,89.3,100.7,9.7,22.9,fire,14.6
18,8,36,54,18,0.0,89.4,110.9,9.7,27.5,fire,16.1
19,8,35,62,19,0.0,89.4,120.9,9.7,31.3,fire,17.2
20,8,35,68,19,0.0,88.3,130.6,8.8,34.7,fire,16.8
21,8,36,58,19,0.0,88.6,141.1,9.2,38.8,fire,18.4
22,8,36,55,18,0.0,89.1,151.3,9.9,43.1,fire,20.4
23,8,36,53,16,0.0,89.5,161.5,10.4,47.5,fire,22.3
24,8,34,64,14,0.0,88.9,171.3,9.0,50.9,fire,20.9
25,8,35,60,15,0.0,88.9,181.3,8.2,54.7,fire,20.3
30,8,35,70,17,0.8,72.7,180.4,1.7,37.4,not fire,4.2
3,9,25,78,15,3.8,42.6,7.5,0.1,1.7,not fire,0.0
4,9,29,73,17,0.1,68.4,15.7,1.4,2.9,not fire,0.5
5,9,29,75,16,0.0,80.8,24.0,2.8,5.1,fire,1.7
6,9,29,74,19,0.1,75.8,32.2,2.1,5.6,not fire,0.9
7,9,31,71,17,0.3,69.6,30.1,1.5,5.1,not fire,0.6
8,9,30,73,17,0.9,62.0,8.4,1.1,3.0,not fire,0.4
9,9,30,77,15,1.0,56.1,8.4,0.7,2.6,not fire,0.2
10,9,33,73,12,1.8,59.9,8.9,0.7,2.7,not fire,0.3
11,9,30,77,21,1.8,58.5,8.4,1.1,2.4,not fire,0.3
12,9,29,88,13,0.0,71.0,16.6,1.2,3.7,not fire,0.5
13,9,25,86,21,4.6,40.9,7.5,0.1,1.8,not fire,0.0
15,9,24,82,15,0.4,44.9,7.3,0.2,1.4,not fire,0.0
16,9,30,65,14,0.0,78.1,15.7,1.9,4.2,not fire,0.8
17,9,31,52,14,0.0,87.7,24.3,6.2,7.7,fire,5.9
18,9,32,49,11,0.0,89.4,33.1,6.8,11.3,fire,7.7
19,9,29,57,14,0.0,89.3,41.3,7.8,14.2,fire,9.7
20,9,28,84,18,0.0,83.8,49.3,4.5,16.0,fire,6.3
21,9,31,55,11,0.0,87.8,57.9,5.4,19.2,fire,8.3
22,9,31,50,19,0.6,77.8,41.4,2.4,12.9,not fire,2.8
23,9,32,54,11,0.5,73.7,30.4,1.2,9.6,not fire,0.7
24,9,29,65,19,0.6,68.3,15.2,1.5,5.8,not fire,0.7
25,9,26,81,21,5.8,48.6,7.7,0.4,3.0,not fire,0.1
26,9,31,54,11,0.0,82.0,16.3,2.5,6.2,not fire,1.7
27,9,31,66,11,0.0,85.7,24.9,4.0,9.0,fire,4.1
28,9,32,47,14,0.7,77.5,8.8,1.8,6.8,not fire,0.9
29,9,26,80,16,1.8,47.4,7.7,0.3,3.0,not fire,0.1
30,9,25,78,14,1.4,45.0,7.5,0.2,2.4,not fire,0.1
1,6,32,71,12,0.7,57.1,8.2,0.6,2.8,not fire,0.2
2,6,30,73,13,4.0,55.7,7.8,0.6,2.9,not fire,0.2
3,6,29,80,14,2.0,48.7,7.6,0.3,2.6,not fire,0.1
4,6,30,64,14,0.0,79.4,15.4,2.2,5.6,not fire,1.0
5,6,32,60,14,0.2,77.1,17.6,1.8,6.5,not fire,0.9
6,6,35,54,11,0.1,83.7,26.3,3.1,9.3,fire,3.1
7,6,35,44,17,0.2,85.6,28.9,5.4,10.7,fire,6.0
8,6,28,51,17,1.3,71.4,7.4,1.5,7.3,not fire,0.8
9,6,27,59,18,0.1,78.1,14.7,2.4,8.3,not fire,1.9
10,6,30,41,15,0.0,89.4,22.5,8.4,13.1,fire,10.0
11,6,31,42,21,0.0,90.6,30.5,13.4,18.0,fire,16.7
12,6,27,58,17,0.0,88.9,37.8,8.7,21.2,fire,12.9
13,6,30,52,15,2.0,72.3,7.8,1.4,10.9,not fire,0.9
14,6,27,79,16,0.7,53.4,7.3,0.5,6.1,not fire,0.3
15,6,28,90,15,0.0,66.8,14.7,1.2,7.1,not fire,0.6
16,6,29,87,15,0.4,47.4,8.0,0.2,4.1,not fire,0.1
17,6,31,69,17,4.7,62.2,8.0,1.1,3.8,not fire,0.4
19,6,32,67,14,4.5,64.6,8.2,1.0,4.2,not fire,0.4
20,6,31,72,14,0.2,60.2,8.0,0.8,3.7,not fire,0.3
21,6,32,55,14,0.0,86.2,18.4,5.0,8.2,fire,4.9
22,6,33,46,14,1.1,78.3,8.3,1.9,7.7,not fire,1.2
23,6,33,59,16,0.8,74.2,8.3,1.6,6.7,not fire,0.8
24,6,35,68,16,0.0,85.3,17.0,4.9,9.9,fire,5.3
25,6,34,70,16,0.0,86.0,25.6,5.4,12.7,fire,6.7
26,6,36,62,16,0.0,87.8,34.5,7.0,16.4,fire,9.5
27,6,36,55,15,0.0,89.1,43.3,8.0,20.8,fire,12.0
28,6,37,37,13,0.0,92.5,52.4,11.7,27.1,fire,18.4
29,6,37,36,13,0.6,86.2,36.7,4.8,17.8,fire,7.2
30,6,34,42,15,1.7,79.7,8.5,2.2,11.5,not fire,2.2
1,7,28,58,18,2.2,63.7,8.5,1.2,3.3,not fire,0.5
2,7,33,48,16,0.0,87.6,17.8,6.8,7.8,fire,6.4
3,7,34,56,17,0.1,84.7,27.3,4.7,10.3,fire,5.2
4,7,34,58,18,0.0,88.0,36.8,8.0,14.1,fire,9.9
5,7,34,45,18,0.0,90.5,46.4,11.3,18.7,fire,15.0
6,7,35,42,15,0.3,84.7,45.1,4.3,16.7,fire,6.3
7,7,38,43,13,0.5,85.0,35.4,4.1,13.7,fire,5.2
8,7,35,47,18,6.0,80.8,9.7,3.1,9.4,fire,3.0
9,7,36,43,15,1.9,82.3,9.9,3.2,9.0,fire,3.1
10,7,34,51,16,3.8,77.5,9.5,2.0,7.7,not fire,1.3
11,7,34,56,15,2.9,74.8,9.5,1.6,6.8,not fire,0.8
12,7,36,44,13,0.0,90.1,19.4,8.3,12.5,fire,9.6
13,7,39,45,13,0.6,85.2,10.4,4.2,10.9,fire,4.7
14,7,37,37,18,0.2,88.9,14.69,12.5,10.4,fire,7.03539094650206
15,7,34,45,17,0.0,90.5,24.1,10.9,17.7,fire,14.1
16,7,31,83,17,0.0,84.5,33.1,4.7,19.2,fire,7.3
17,7,32,81,17,0.0,84.6,42.3,4.7,20.9,fire,7.7
18,7,33,68,15,0.0,86.1,51.6,5.2,23.9,fire,9.1
19,7,34,58,16,0.0,88.1,61.1,7.3,27.7,fire,13.0
20,7,36,50,16,0.0,89.9,71.0,9.5,32.6,fire,17.3
22,7,32,48,18,0.0,91.5,90.1,13.2,44.0,fire,25.4
23,7,31,71,17,0.0,87.3,99.0,6.9,46.5,fire,16.3
24,7,33,63,17,1.1,72.8,56.6,1.6,21.7,not fire,2.5
25,7,39,64,9,1.2,73.8,15.9,1.1,11.4,not fire,0.7
26,7,35,58,10,0.2,78.3,19.7,1.6,10.7,not fire,1.0
27,7,29,87,18,0.0,80.0,28.3,2.8,11.8,not fire,3.2
28,7,33,57,16,0.0,87.5,37.6,6.7,15.7,fire,9.0
29,7,34,59,16,0.0,88.1,47.2,7.4,19.5,fire,10.9
30,7,36,56,16,0.0,88.9,57.1,8.2,23.8,fire,13.2
31,7,37,55,15,0.0,89.3,67.2,8.3,28.3,fire,14.5
1,8,38,52,14,0.0,78.3,10.5,2.0,4.4,not fire,0.8
2,8,40,34,14,0.0,93.3,21.4,13.8,10.6,fire,13.5
4,8,38,35,15,0.0,93.8,42.7,15.7,22.9,fire,20.9
6,8,30,54,14,3.1,70.5,9.1,1.3,10.5,not fire,0.8
7,8,34,63,13,2.9,69.7,9.8,1.2,6.9,not fire,0.6
8,8,37,56,11,0.0,87.4,20.2,5.2,11.0,fire,5.9
9,8,39,43,12,0.0,91.7,30.9,9.6,16.4,fire,12.7
10,8,39,39,15,0.2,89.3,35.4,8.2,15.8,fire,10.7
12,8,39,21,17,0.4,93.0,41.5,15.5,18.4,fire,18.8
13,8,35,34,16,0.2,88.3,45.1,7.5,17.5,fire,10.5
14,8,37,40,13,0.0,91.9,55.5,10.8,22.3,fire,15.7
15,8,35,46,13,0.3,83.9,54.2,3.5,19.0,fire,5.5
16,8,40,41,10,0.1,92.0,65.1,9.5,24.2,fire,14.8
17,8,42,24,9,0.0,96.0,76.4,15.7,30.4,fire,24.0
18,8,37,37,14,0.0,94.3,86.8,16.0,35.9,fire,26.3
19,8,35,66,15,0.1,82.7,96.8,3.3,35.5,fire,7.7
20,8,36,81,15,0.0,83.7,107.0,3.8,38.1,fire,9.0
21,8,36,71,15,0.0,86.0,117.1,5.1,41.3,fire,12.2
22,8,37,53,14,0.0,89.5,127.5,8.0,45.5,fire,18.1
23,8,36,43,16,0.0,91.2,137.7,11.5,50.2,fire,24.5
24,8,35,38,15,0.0,92.1,147.7,12.2,54.9,fire,26.9
28,8,35,56,14,0.4,79.2,166.0,2.1,30.6,not fire,6.1
29,8,35,53,17,0.5,80.2,149.2,2.7,30.6,fire,5.9
30,8,34,49,15,0.0,89.2,159.1,8.1,35.7,fire,16.0
31,8,30,59,19,0.0,89.1,168.2,9.8,39.3,fire,19.4
1,9,29,86,16,0.0,37.9,8.2,0.1,1.4,not fire,0.0
2,9,28,67,19,0.0,75.4,16.3,2.0,4.0,not fire,0.8
3,9,28,75,16,0.0,82.2,24.3,3.3,6.0,fire,2.5
4,9,30,66,15,0.2,73.5,26.6,1.5,6.0,not fire,0.7
5,9,30,58,12,4.1,66.1,8.4,1.0,3.9,not fire,0.4
6,9,34,71,14,6.5,64.5,9.1,1.0,3.5,not fire,0.4
7,9,31,62,15,0.0,83.3,17.7,3.8,6.4,fire,3.2
8,9,30,88,14,0.0,82.5,26.1,3.0,8.1,fire,2.7
9,9,30,80,15,0.0,83.1,34.5,3.5,10.0,fire,3.7
10,9,29,74,15,1.1,59.5,8.2,0.8,4.6,not fire,0.3
11,9,30,73,14,0.0,79.2,16.6,2.1,6.6,not fire,1.2
12,9,31,72,14,0.0,84.2,25.2,3.8,9.1,fire,3.9
13,9,29,49,19,0.0,88.6,33.4,9.1,12.4,fire,10.3
14,9,28,81,15,0.0,84.6,41.5,4.3,14.3,fire,5.7
15,9,32,51,13,0.0,88.7,50.2,6.9,17.8,fire,9.8
16,9,33,26,13,0.0,93.9,59.2,14.2,22.4,fire,19.3
17,9,34,44,12,0.0,92.5,63.3,11.2,26.2,fire,17.5
18,9,36,33,13,0.1,90.6,77.8,9.0,28.2,fire,15.4
19,9,29,41,8,0.1,83.9,86.0,2.7,28.9,fire,5.6
20,9,34,58,13,0.2,79.5,88.0,2.1,24.4,not fire,3.8
21,9,35,34,17,0.0,92.2,97.3,13.8,29.4,fire,21.6
22,9,33,64,13,0.0,88.9,106.3,7.1,32.4,fire,13.7
23,9,35,56,14,0.0,89.0,115.6,7.5,36.0,fire,15.2
25,9,28,70,15,0.0,79.9,36.1,2.4,14.1,not fire,3.0
26,9,30,65,14,0.0,85.4,44.5,4.5,16.9,fire,6.5
27,9,28,87,15,4.4,41.1,8.0,0.1,6.2,not fire,0.0
29,9,24,54,18,0.1,79.7,15.2,1.7,5.1,not fire,0.7
30,9,24,64,15,0.2,67.3,16.5,1.2,4.8,not fire,0.5
